index,created_at,custom_comment,sentiment
30,01/03/2023 22:06,Great guy!!!,1
33,02/03/2023 06:46,he is the best driver,1
45,02/03/2023 14:15,The best driver!),1
52,02/03/2023 17:11,Perfect. Recommend,1
53,02/03/2023 17:41,Perfect trip,1
101,04/03/2023 01:24,"thanks, can recommend",1
103,04/03/2023 04:25,this is the best driver ever he is well experienced and help full ge deserve  promtion and best driver of the year,1
110,04/03/2023 10:20,Thanks a lot bro 🍻,1
116,04/03/2023 16:36,Cool music,1
135,05/03/2023 09:01,great service!,1
204,07/03/2023 17:27,Great guy and was really helpful…he deserves 6 star rating,1
262,09/03/2023 17:32,"He is a gentleman,speaks English fluently and renders great service",1
265,09/03/2023 18:56,He is one of the best driver I’ve ever travelled in Kyiv,1
269,09/03/2023 20:49,amazing person.The best driver,1
294,10/03/2023 13:28,its was ease and good. a very great service,1
303,10/03/2023 19:29,"Clean avto, polite driver, great service",1
350,09/03/2023 22:12,"Friendly driver, one of the best experiences in a taxi",1
365,10/03/2023 11:31,Great guy… left the change for me. Great service,1
377,10/03/2023 15:49,It was just perfect :) fast and safe,1
449,16/03/2023 19:35,One of the best services in my time here) Thanks,1
499,18/03/2023 15:43,The best guy in Utaxi ever! Such a nice person,1
507,18/03/2023 19:25,Very smart and positive driver The best in Odessa,1
548,19/03/2023 22:28,pretty nice ride,1
558,20/03/2023 12:28,recommend this service,1
561,20/03/2023 13:29,"the car was very smelly i almost threw up, i don't think it was ever cleaned or the driver ever showered",-1
568,20/03/2023 16:33,good servise,1
605,21/03/2023 18:59,"Great, thanks",1
634,22/03/2023 13:46,He is one of the best drivers,1
646,22/03/2023 17:34,The best driver and person 😉,1
648,22/03/2023 19:28,Great Service!,1
657,23/03/2023 05:48,Thanks a lot,1
664,23/03/2023 09:32,"Great service! Thank you, Andriy!",1
668,23/03/2023 10:55,"great service, thank you!",1
669,23/03/2023 11:30,The best driver in the Utaxi !!!!!,1
685,23/03/2023 23:56,Great ride!,1
719,24/03/2023 19:21,Great service! 💯,1
752,25/03/2023 19:09,wonderful,1
758,26/03/2023 09:49,The best driver I’ve had,1
781,27/03/2023 00:29,"the best, fast",1
819,28/03/2023 12:19,It’s not everyday you meet a well mannered driver. Best taxi driver ever met. 10 stars,1
822,28/03/2023 15:29,Best driver at avoiding traffic jams i have ever seen.  A complete badass!,1
827,28/03/2023 19:08,"Great driver, he is so humble and he speaks English. I love the ride. He is one of the best drivers!",1
887,30/03/2023 12:42,The best trip ever! We recommend this for foreign students going to class!,1
899,30/03/2023 18:01,Great chat),1
902,30/03/2023 20:26,"The driver was super polite. The car comfortable, neat and tidy. The music was smooth jazz. One of the best rides ever!",1
941,01/10/2021 21:27,Has reduced the rest of the money,-1
973,02/10/2021 15:13,The Best Driver in this city!,1
974,02/10/2021 15:47,The best driver for all my experience of Utaxi 👌,1
984,02/10/2021 20:18,Thanks for good jazz music,1
1035,04/10/2021 19:21,Nice guy. Perfect English. Clean car. Thanks!,1
1040,04/10/2021 21:43,best of the best of the best of the best,1
1047,05/10/2021 07:24,Excellent! Thanks!,1
1051,05/10/2021 09:02,The best of the best,1
1056,05/10/2021 10:23,fast trip,1
1057,05/10/2021 11:38,Perfect! Thanks!,1
1069,05/10/2021 18:50,"Take a shower, smells badly. Thanks",1
1103,06/10/2021 17:59,"It wasn't perfectly, but well done",1
1131,07/10/2021 21:44,Perffecto!!!,1
1138,08/10/2021 08:56,The driver himself is awesome. Super friendly and supportive. One of the best drivers in Kyiv. I recommend him!!!,1
1203,10/10/2021 14:13,Cool music,1
1228,11/10/2021 14:00,Super!,1
1264,13/10/2021 13:50,One of the best rides ever,1
1277,13/10/2021 22:18,"Driver is perfect, it was just awesome",1
1322,15/10/2021 14:31,Very kind and patient . My best driver so far on Utaxi,1
1355,17/10/2021 06:23,good job!,1
1395,18/10/2021 15:36,Loved it,1
1422,19/10/2021 13:45,"RESPECT, EXCELLENT, THANKS  BOGDAN 💯💃🎉🎊🍁🍂🍁💐",1
1427,19/10/2021 18:05,"Best driver ever, he gave me drink which was so sweet",1
1469,21/10/2021 18:35,Such a happy man!!!!,1
1479,22/10/2021 04:45,Great knowledge about city!,1
1496,22/10/2021 15:48,best of the best,1
1506,22/10/2021 21:36,The best man ever in ukraine🥀❤️,1
1535,23/10/2021 21:42,BEST OF THE BEST 🔥🔥🔥🔥🔥,1
1573,25/10/2021 08:15,great service,1
1588,25/10/2021 18:21,He’s the coolest Utaxi driver I’ve ever met. Thanks,1
1619,26/10/2021 22:31,"This is the best driver you will ever ride with, he is an Angek, pay him more money, he deserves it",1
1625,27/10/2021 06:32,"The man is the best driver I have taken, he is really nice 🥰",1
1633,27/10/2021 15:47,he is the coolest driver,1
1648,28/10/2021 12:22,excellent transfer experience,1
1683,30/10/2021 11:04,Flawless ride,1
1692,30/10/2021 15:10,"amazing driving skills plus a cool and great music playing, really appreciate it, one of the best rides ever🙏",1
1697,30/10/2021 16:32,Great communication ,1
1733,01/11/2021 04:47,great personality,1
1753,01/11/2021 20:30,Briliant service. I like it. Tanks,1
1801,04/11/2021 12:40,"Great driving skills, helpful",1
1804,04/11/2021 17:01,Cool music,1
1835,05/11/2021 23:38,He is perfect,1
1837,06/11/2021 05:54,Thanks for returning my headphones x,1
1847,06/11/2021 14:18,great service,1
1872,07/11/2021 11:30,"RECOMEND that amazing person, nice and funny trip. cheap and fast !",1
1887,08/11/2021 07:44,Perfect 💕,1
1921,09/11/2021 15:27,Great ride,1
1925,09/11/2021 16:42,The Best of the Best!,1
1957,10/11/2021 19:29,superb 👍,1
2002,12/11/2021 21:16,the  best driver in all ukraine i really enjoy the trip,1
2021,13/11/2021 17:16,best of the best,1
2037,14/11/2021 14:12,Great service. Recommended,1
2056,15/11/2021 11:31,pretty nice trip!,1
2084,16/11/2021 16:12,fantastic!!!! the best trip ever!!,1
2148,19/11/2021 08:22,Perfect music ❤️,1
2157,19/11/2021 13:02,"perfect delivery experience, easy and prompt service, AAA+",1
2159,19/11/2021 13:55,"best driver in Kharkiv. my man has got a lot of talent. actor , seller , driver , traveler etc. Good luck bro!",1
2160,19/11/2021 14:20,"İt was perfect trip, nice car , excelent service",1
2190,20/11/2021 18:30,he made a misteke but he fixed it perfectly. I recomend him,1
2191,20/11/2021 19:09,Great experience,1
2261,23/11/2021 18:34,"Nice driver, knows city perfectly. I do recommend",1
2264,23/11/2021 21:48,I’m so sorry. I apologize to the driver and the company. I misunderstood it. Great service for the driver,1
2289,25/11/2021 03:46,Thanks a lot for the service,1
2362,27/11/2021 11:42,best driver in kyiv. my daughter wants hom everytime:),1
2439,30/11/2021 19:27,The best driver ever,1
2441,30/11/2021 23:14,One of the best drivers ever,1
2490,03/12/2021 07:56,The best driver i met so far …. I liked his attitude soo much …. Best driver in the industry 🤝👍👍👍,1
2503,03/12/2021 17:47,Mr. Mihaylo provides a great service!,1
