index,custom_comment,sentiment,1 Pricing and Fairness,2 Driver professionalism,3 Driver behaviour,4 Customer Service,5 Application,6 Lost things,7 Vehicle Condition,8 Safety & reliability,9 General bad,10 Other
49,The driver didn’t pay back the rest of the money,-1,1,0,1,0,0,0,0,0,0,0
2247,He is the worst driver in Utaxi and I would delete this app if you do not fire him. He was just racist and playing,-1,0,0,1,0,0,0,0,0,0,0
2272,A simple “hello” or response would be perfect. It’s just courtesy,-1,0,0,1,0,0,0,0,0,0,0
3229,Not so great service,-1,0,0,0,0,0,0,0,0,1,0
3576,"Worst driver ever, he’s a racist was screaming and cursing",-1,0,0,1,0,0,0,0,0,0,0
3923,inappropriately treated,-1,0,0,1,0,0,0,0,0,0,0
5076,worst trip,-1,0,0,0,0,0,0,0,0,1,0
5188,Too pessimistic about Ukraine,-1,0,0,1,0,0,0,0,0,0,0
5600,"Bad manners, worst drivers skills. Not a close to business taxi level",-1,0,1,1,0,0,0,0,0,0,0
5940,"Driver got lost , could not find us. He was dressed like a junkie, Made U turns, drove us unsafely in an old, dirty car. In the end we were overcharged. 
 Next time we were in Chicago, we just booked through a local limo company with great service and reasonable prices",-1,1,1,1,0,0,0,1,1,0,0
2,Driver is a theif. Our travel cost is 154 and gave 200. we have hurry for my fligth. Driver didnt give back change,-1,1,0,0,0,0,0,0,0,0,0
3,he was rude and did not drop me to my destination,-1,0,1,1,0,0,0,0,0,0,0
4,Drove recklessly. Said he was a race driver. Was very rude. We almost had an accident. He should not be allowed to drive,-1,0,0,1,0,0,0,0,1,0,0
6,"i ask the driver to drop me 50 metres from the destination point, he said he wantwd mpre money very rudely",-1,0,0,1,0,0,0,0,0,0,0
8,Was very slow,-1,0,1,0,0,0,0,0,0,0,0
9,Driver cheated me -  Taxi price was 172 and driver charged me 200 🤦🏿‍♂️ bad behavior,-1,1,0,1,0,0,0,0,0,0,0
16,I want refund of the trip ! He took wrong way and i went down from the car !,-1,1,1,0,0,0,0,0,0,0,0
26,"1) the driver demanded payment in cash, even though i already paid it through the app 2) the driver didn't wear a mask",-1,1,0,1,0,0,0,0,0,0,0
28,Driver took advantage of me not paying attention,-1,0,0,1,0,0,0,0,0,0,0
32,Was supposed to pay 46+16 =62 but he made me pay 80uah,-1,1,0,1,0,0,0,0,0,0,0
34,He go to gas station and I have to wait until he finish ! If he don’t have fuel he don’t have to accept order,-1,0,1,0,0,0,0,1,0,0,0
38,"Rude and high , learn how to drive !",-1,0,1,1,0,0,0,0,0,0,0
39,He charged me more than the estimated price😒,-1,1,0,0,0,0,0,0,0,0,0
40,The driver forgot to stop the waiting meter,-1,1,1,0,0,0,0,0,0,0,0
46,This man is a scammer. He started idle wait when he didn’t arrive at destination and my ride is 30 uah but he took 50uah,-1,1,1,1,0,0,0,0,0,0,0
54,I only ordered to one place which was to akademika pavlova 132 so why I’m I seeing other orders and they took extra,-1,1,0,0,0,0,0,0,0,0,0
56,I hate the fact that drivers start the idle time without reaching the destination and I have to pay the extra money 😡😡,-1,1,1,0,0,0,0,0,0,0,0
61,"Our driver has made a wrong turn and declined to go back, asking us to exit, although we had several heavy bags with us",-1,0,1,1,0,0,0,0,0,0,0
63,That’s not call when he comes wait for the idle to go up before,-1,1,0,0,0,0,0,0,0,0,0
64,the driver added extra money,-1,1,0,0,0,0,0,0,0,0,0
67,he went to the wrong address and refused to give me change. HE IS SUCH A RACIST,-1,0,1,1,0,0,0,0,0,0,0
79,Extra person apart from driver in vehicle. Driver arrived 5 minutes late,-1,0,1,0,0,0,0,0,0,0,0
82,"He is arrogant, didn’t help me with my luggage and he didn’t give me back the change from the  trip I payed",-1,1,1,1,0,0,0,0,0,0,0
85,He is taling me more money and blackmailing me,-1,1,0,1,0,0,0,0,0,0,0
87,He came 10 mnts later then arrive time. Did not inform also. He was using navigator with loud voice,-1,0,1,0,0,0,0,0,0,0,0
88,The driver take from me more money plus the asking price …,-1,1,0,1,0,0,0,0,0,0,0
93,"I had 4 bags w/ me and it took time to get them out,then driver insulted me,said me animal, bitch, bcI'm not hurrying",-1,0,0,1,0,0,0,0,0,0,0
95,"Driver took money from fellow travelers invited by me. with even no words. Not so much, but still unpleasant",-1,1,0,1,0,0,0,0,0,0,0
97,Was running very slow and made me miss my trip 🤬🤬,-1,0,1,0,0,0,0,0,0,0,0
102,"The driver marked “Arrived” long before he did, so I was searching for the vehicle and stressed I couldn’t find it",-1,0,1,0,0,0,0,0,0,0,0
105,Driver didn't get me exactly to where I wanted. Just dropped me nearby. He said he doesn't want to go through the yards,-1,0,1,1,0,0,0,0,0,0,0
107,Because I don’t have cash with and wanted to do transfer your driver started calling racial names. Very bad of him,-1,1,0,1,0,0,0,0,0,0,0
115,"The music was so laud. When there is small baby in car, driver must understand to drive better! 20 minutes late came",-1,0,1,1,0,0,0,0,0,0,0
118,"Driver didn’t start trip and started it on arrival on destination, there by counting and it as idle",-1,1,0,0,0,0,0,0,0,0,0
129,i gabe 200 hundred to the driver and he accepted to make it returned through my account on Utaxi,-1,1,0,0,0,0,0,0,0,0,0
130,He didn’t cancel the trip,-1,0,1,0,0,0,0,0,0,0,0
131,It’s ok for driver to not move for more than 10 min. Also paid waiting finished when we were moving for 5 min,-1,1,0,0,0,0,0,0,0,0,0
134,Using not own account. Wait for drivers arrive for 20 mins,-1,0,1,1,0,0,0,0,0,0,0
138,The driver did not want me to sit in the front.  I'm a big man and can 't sit in the back.  And she argued with me,-1,0,0,1,0,0,0,0,0,0,0
140,The driver didn’t check if he was in the right place and charged me for 8 minutes of idle time. We were waiting,-1,1,1,0,0,0,0,0,0,0,0
145,Driver doesn’t know the road,-1,0,1,0,0,0,0,0,0,0,0
146,"he didnt come to the right address.he started the idle anywayt. he didn't call, i called to tell he is not in the right",-1,1,1,0,0,0,0,0,0,0,0
151,He is very rude. And does not know how to talk to his customer. And I have rode with him plenty of times,-1,0,0,1,0,0,0,0,0,0,0
154,"Driver was driving carelessly (speeding, ran a red light) didn’t get out of car to help with two pieces of luggage",-1,0,0,1,0,0,0,0,1,0,0
157,Did not complete the trip,-1,0,1,0,0,0,0,0,0,0,0
165,This driver took the longest route ever. Made me 15 mins late. He ruined my day because of his slow drive and wrong rout,-1,0,1,0,0,0,0,0,0,0,0
166,It took me a long time to get to the set direction,-1,0,1,0,0,0,0,0,0,0,0
169,I placed order for food but I didn’t get my complete delivery please I need explanation,-1,1,0,0,0,0,1,0,0,0,0
170,He is slow driver. I was late because of him and my day was ruined,-1,0,1,0,0,0,0,0,0,0,0
174,counted free idle tym,-1,1,0,0,0,0,0,0,0,0,0
180,Asking for more money and unprofessional,-1,1,1,0,0,0,0,0,0,0,0
182,The driver refused to come to my pick-up address; it was easier for him to wait a block away. He refused to wear a mask,-1,0,1,1,0,0,0,0,0,0,0
183,Arrived late,-1,0,1,0,0,0,0,0,0,0,0
186,"there was no traffic.he arrived 13mnts late.watched videos on phone.went on wrong direction,charged more because of that",-1,1,1,1,0,0,0,0,0,0,0
187,"It was terrible, I was late because I cannot see him",-1,0,0,0,0,0,0,0,0,1,0
189,He didn’t give the change back,-1,1,0,0,0,0,0,0,0,0,0
197,Does not know the city,-1,0,1,0,0,0,0,0,0,0,0
199,Driver did not help with the luggage,-1,0,1,1,0,0,0,0,0,0,0
200,driver did not go to the correct designated address,-1,0,1,0,0,0,0,0,0,0,0
205,He was driving in every direction to make the price increase,-1,1,1,0,0,0,0,0,0,0,0
208,Didn’t arrived at the picking spot and started the idle time bad customer service...added extra fee,-1,1,1,1,0,0,0,0,0,0,0
209,Started free idle before getting to the location,-1,1,0,0,0,0,0,0,0,0,0
213,Very slow,-1,0,1,0,0,0,0,0,0,0,0
215,he take my money,-1,1,0,1,0,0,0,0,0,0,0
218,Drive said he don’t have change of 100 uah the price was 60,-1,1,0,1,0,0,0,0,0,0,0
222,did not arrive at pickup location...was 5mins away and indicated he had arrived leading to extra charges.useless driver!,-1,1,1,1,0,0,0,0,0,0,0
227,Driver didn’t give change and charged extra for entering airport and address show airport before,-1,1,1,0,0,0,0,0,0,0,0
228,waiting for him far too long,-1,0,1,0,0,0,0,0,0,0,0
229,he did not let me open window and acted rudely,-1,0,1,1,0,0,0,0,0,0,0
230,the driver came 8 minutes late and refused to admit it during my call to him 5 minutes after the indicated time,-1,0,1,1,0,0,0,0,0,0,0
235,Didn’t drive to the location,-1,0,1,0,0,0,0,0,0,0,0
238,Didn’t know directions,-1,0,1,0,0,0,0,0,0,0,0
241,"Strong exhaust smell in car, driver don't know how to drive (locations and actual driving)",-1,0,1,0,0,0,0,1,0,0,0
242,"The driver was not on the indicated address, he didn’t say good morning and he didn’t drive safely",-1,0,1,1,0,0,0,0,1,0,0
252,The driver left the trip on paid idle,-1,1,0,0,0,0,0,0,0,0,0
254,"Driving fast, not finishing the ride on time",-1,0,1,0,0,0,0,0,1,0,0
255,"Very bad driver , no manners , bad driving , before ending my trip he asked me to pay him , worst experience",-1,0,1,1,0,0,0,0,1,0,0
258,"The worst request ever, driver arrived 30min late. Arrived late at my work place. So annoying",-1,0,1,0,0,0,0,0,0,0,0
261,Almost got in an accident 2 times,-1,0,0,0,0,0,0,0,1,0,0
263,Driver did not give my balance. Lied I didn’t give him money,-1,1,0,1,0,0,0,0,0,0,0
270,Very bad he didn’t respect passengers and truest people and his driving not save and pressing break hardly,-1,0,0,1,0,0,0,0,1,0,0
272,He asked me to pay 191 UAH take more then 120 UAH,-1,1,0,1,0,0,0,0,0,0,0
278,He didn’t let me know when he got here. Her just started the idle and he screamed at me at a point,-1,1,0,1,0,0,0,0,0,0,0
280,He could not find our home for 20 min and started idle charges,-1,1,1,0,0,0,0,0,0,0,0
288,"The behaviour wasn’t pleasant, didn’t want to come. After that came to another place. I waited him for 20 min!!",-1,0,1,1,0,0,0,0,0,0,0
295,The driver started the trip before picking me up,-1,1,1,0,0,0,0,0,0,0,0
313,"How can i pay Extra 6uah when the driver didn’t pack in my address and i have to been looking for him,extra 6uah 😡😡",-1,1,1,0,0,0,0,0,0,0,0
314,He didn't want to give me my change,-1,1,0,1,0,0,0,0,0,0,0
315,He didn’t start the trip and I paid a lot more,-1,1,1,0,0,0,0,0,0,0,0
316,took other route to reach at the destination .. worst ride ever,-1,0,1,0,0,0,0,0,0,0,0
318,Drop not at location request,-1,0,1,0,0,0,0,0,0,0,0
324,he didnt call when he came to pick up and he started the idle too fast,-1,1,0,1,0,0,0,0,0,0,0
330,he wanted 600grivna for this ride,-1,1,0,0,0,0,0,0,0,0,0
343,I sent a delivery and the driver drove off with the delivery. Very bad service. It cost me money,-1,1,0,1,0,0,1,0,0,0,0
344,He’s Rude refuse to drop at my correct address,-1,0,1,1,0,0,0,0,0,0,0
346,Not willing to drop till my entrance,-1,0,1,1,0,0,0,0,0,0,0
349,"The taxi didn’t come to the place I ordered too , I took a 15 minute walk just to reach him, that’s so unacceptable",-1,0,1,0,0,0,0,0,0,0,0
356,Bad route,-1,0,1,0,0,0,0,0,0,0,0
364,"Asked to change the location for 500 meters, rejected",-1,0,0,1,0,0,0,0,0,0,0
369,its very bad he was late,-1,0,1,0,0,0,0,0,0,0,0
371,I asked for air conditioner and driver said no,-1,0,0,1,0,0,0,1,0,0,0
376,Driver charged extra money,-1,1,0,0,0,0,0,0,0,0,0
380,Seemed irritated. Drove past my destination,-1,0,1,1,0,0,0,0,0,0,0
381,he refused to drop me off in exact point,-1,0,1,1,0,0,0,0,0,0,0
